PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
TS,1981,19.92,26.29,29.6,36.19,36.76,33.4,26.4,25.19,25.32,23.74,19.33,19.23,26.76
TS,1982,22.77,25.4,31.46,35.76,37.12,32.76,28.12,25.58,25.62,24.41,22.94,22.89,27.9
TS,1983,22.73,27.03,31.89,36.57,39.19,34.3,27.73,25.92,25.61,23.13,18.04,19.5,27.63
TS,1984,22.9,25.65,32.05,37.31,39.95,31.99,26.84,25.6,26.48,25.58,22.37,23.28,28.33
TS,1985,25.81,26.46,32.51,35.99,39.64,31.57,26.84,25.63,26.29,23.32,22.22,22.61,28.25
TS,1986,22.1,26.65,33.3,37.63,38.44,32.19,27.43,25.29,26.05,26.08,24.83,23.95,28.66
TS,1987,22.68,26.31,30.75,36.65,36.4,33.84,27.38,26.47,26.99,25.7,23.46,20.47,28.08
TS,1988,25.16,28.09,31.94,36.41,39.83,33.45,26.77,26.26,26.0,22.9,19.39,19.82,27.99
TS,1989,21.56,25.58,29.73,35.19,39.23,31.16,26.83,25.53,25.62,24.5,23.87,21.11,27.49
TS,1990,22.3,27.04,31.45,36.48,34.12,28.48,26.5,26.01,25.51,23.8,21.78,21.23,27.05
TS,1991,22.49,27.91,33.71,36.84,40.21,30.94,26.61,25.19,26.12,25.36,23.19,21.63,28.34
TS,1992,22.08,25.38,32.15,37.22,39.39,34.63,28.59,25.59,25.01,24.15,23.09,20.43,28.14
TS,1993,23.04,24.99,28.96,36.81,39.14,32.66,26.72,25.81,25.41,24.48,20.07,17.95,27.17
TS,1994,22.73,25.98,32.92,36.02,39.17,31.39,25.77,25.19,24.36,23.92,20.95,18.24,27.22
TS,1995,18.45,24.61,31.58,35.75,37.01,34.4,26.69,26.19,25.68,23.73,20.32,21.11,27.12
TS,1996,24.08,26.73,32.75,35.35,38.64,35.08,27.83,25.94,25.83,23.48,20.79,19.21,27.97
TS,1997,19.85,23.33,32.02,33.43,37.21,32.4,27.07,25.97,25.79,25.37,25.08,22.48,27.51
TS,1998,23.24,24.76,31.04,37.95,40.44,34.21,28.02,26.56,25.91,24.94,20.97,17.02,27.93
TS,1999,19.55,27.46,32.08,36.48,37.12,30.19,27.33,25.6,25.13,24.01,20.41,19.1,27.02
TS,2000,22.42,25.37,29.4,37.24,36.78,30.13,26.99,26.41,26.16,26.94,25.34,20.9,27.83
TS,2001,22.68,26.62,32.0,34.52,38.49,29.28,27.99,25.69,26.73,23.99,23.1,20.92,27.66
TS,2002,21.72,27.88,32.4,37.28,38.62,31.42,28.4,25.67,25.5,24.86,23.2,23.4,28.36
