PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
TS,1981,21.67,27.11,30.27,36.4,35.28,32.65,26.95,25.71,25.78,24.43,21.19,21.33,27.38
TS,1982,24.39,28.96,33.17,35.7,36.71,32.62,28.22,26.16,25.85,24.92,23.14,22.32,28.5
TS,1983,23.55,28.48,32.65,37.05,38.63,34.25,27.86,26.32,26.02,24.1,19.94,21.08,28.32
TS,1984,24.85,27.74,32.26,36.98,39.98,31.52,26.94,26.06,26.51,25.83,23.29,24.54,28.87
TS,1985,26.32,27.91,33.13,35.89,39.07,29.73,26.55,26.12,26.35,23.95,23.12,23.22,28.45
TS,1986,22.69,27.09,33.22,37.1,38.62,32.43,27.83,26.06,26.8,27.08,25.65,24.74,29.11
TS,1987,23.97,26.8,31.19,36.5,37.13,34.58,28.25,27.25,28.37,26.68,24.32,22.19,28.93
TS,1988,25.53,28.83,32.5,35.44,39.87,33.37,27.05,26.51,26.23,23.6,21.39,22.12,28.53
TS,1989,23.34,26.5,30.16,36.21,39.37,31.22,27.04,25.63,25.81,24.56,23.18,21.78,27.9
TS,1990,23.83,28.34,31.97,36.73,33.19,28.16,27.1,26.54,25.91,24.38,23.05,22.3,27.61
TS,1991,24.36,28.62,34.08,37.45,40.65,31.01,26.92,25.64,26.29,24.9,23.06,22.06,28.75
TS,1992,23.05,26.75,32.65,37.17,39.4,33.9,28.35,25.7,25.54,25.59,24.7,21.83,28.71
TS,1993,24.37,25.98,31.48,36.91,39.9,33.59,27.54,26.45,26.26,25.55,22.75,20.46,28.44
TS,1994,24.7,27.65,33.5,36.48,39.27,32.08,26.64,26.01,25.31,24.82,22.37,19.93,28.23
TS,1995,19.87,25.56,32.25,36.16,34.6,33.3,26.83,26.71,26.12,24.71,21.12,21.0,27.34
TS,1996,24.26,26.74,32.94,34.9,38.62,33.64,28.07,26.53,26.23,24.33,22.17,21.38,28.32
TS,1997,21.25,24.49,32.26,32.76,36.58,32.95,27.94,26.32,26.4,26.87,26.45,24.99,28.29
TS,1998,26.27,26.45,32.83,37.18,40.26,34.03,28.23,26.99,26.39,25.49,22.53,18.94,28.8
TS,1999,21.7,28.49,32.4,36.2,35.69,30.01,28.33,26.4,26.12,26.05,24.05,22.31,28.13
TS,2000,24.48,27.22,30.08,37.81,36.4,29.76,27.61,26.82,26.44,26.99,25.73,21.73,28.41
TS,2001,24.28,27.57,32.47,34.39,38.98,30.08,29.25,26.26,27.4,25.55,25.38,22.3,28.66
TS,2002,22.94,28.33,32.8,38.07,38.72,31.47,29.33,26.08,26.38,26.21,24.37,24.05,29.05
TS,2003,24.93,29.9,32.56,37.3,38.65,33.65,27.13,26.01,26.09,24.94,21.83,20.74,28.62
TS,2004,22.41,23.88,32.37,36.32,35.87,33.15,27.36,27.0,27.42,25.93,24.84,22.77,28.27
TS,2005,24.51,26.88,32.05,36.35,38.54,34.18,26.89,26.21,26.08,24.65,18.66,18.6,27.8
TS,2006,20.67,26.38,30.43,35.57,34.63,32.43,28.4,26.11,26.05,25.07,22.77,22.12,27.55
TS,2007,23.39,27.46,32.3,36.45,38.92,31.4,28.55,26.8,26.19,22.87,21.23,22.88,28.2
TS,2008,23.27,25.8,30.33,33.42,38.23,30.37,28.42,26.2,25.85,24.41,23.21,22.82,27.7
TS,2009,24.42,28.91,32.37,36.28,37.85,33.05,27.82,27.76,27.03,25.42,24.2,22.5,28.95
TS,2010,22.8,28.98,33.95,38.02,38.42,34.26,27.08,26.49,25.62,24.88,24.08,19.44,28.65
TS,2011,20.13,25.88,31.69,35.2,38.25,32.19,28.26,26.9,26.41,26.97,25.67,23.59,28.44
TS,2012,25.25,27.66,30.84,37.11,39.15,32.36,27.46,26.42,26.07,24.12,22.92,23.08,28.53
TS,2013,25.15,27.08,32.01,35.58,38.69,28.85,26.48,25.83,26.26,24.73,21.56,19.31,27.63
TS,2014,22.69,25.69,29.25,36.23,35.88,35.06,29.24,28.43,26.26,27.19,25.57,22.97,28.71
TS,2015,21.75,27.13,31.02,34.05,38.55,31.48,29.87,28.51,28.21,29.13,28.08,26.44,29.53
TS,2016,24.35,29.76,33.15,38.02,37.9,31.68,27.05,26.92,25.88,23.44,20.48,20.45,28.24
TS,2017,22.7,26.79,31.14,36.61,38.58,30.34,27.9,26.91,27.18,25.48,23.41,21.08,28.18
TS,2018,22.05,27.03,32.3,36.53,38.29,30.99,27.19,26.29,26.07,26.26,26.38,22.69,28.5
TS,2019,21.94,27.27,33.01,36.93,39.95,35.37,29.31,26.46,26.33,25.33,22.13,20.76,28.73
TS,2020,22.31,25.69,31.8,36.44,38.47,29.76,27.49,26.28,26.58,24.93,21.9,19.74,27.62
TS,2021,23.36,25.01,31.51,35.7,36.06,28.68,27.14,26.77,26.3,25.0,23.67,20.94,27.52
T2M,1981,21.06,26.12,28.81,34.3,33.64,31.64,26.88,25.8,25.82,24.66,21.5,21.35,26.79
T2M,1982,23.52,27.33,31.1,33.47,34.37,31.41,27.82,26.2,25.9,25.19,23.23,22.19,27.64
T2M,1983,23.15,27.05,31.0,34.65,36.09,32.73,27.68,26.37,26.05,24.15,20.01,20.86,27.48
T2M,1984,23.91,26.06,30.89,34.42,37.59,30.51,26.7,26.06,26.4,25.54,22.94,24.23,27.94
T2M,1985,25.02,26.88,31.7,34.19,36.55,29.1,26.37,26.12,26.29,24.04,22.47,22.49,27.6
T2M,1986,22.04,25.83,31.18,34.6,36.37,31.07,27.44,26.08,26.8,26.51,24.76,23.85,28.05
T2M,1987,23.21,25.47,29.68,34.27,34.63,32.77,27.73,27.0,27.96,26.15,24.22,21.95,27.92
T2M,1988,24.6,27.6,31.01,33.33,37.54,31.92,26.97,26.51,26.23,24.13,21.94,22.4,27.84
T2M,1989,23.08,26.41,28.85,34.37,36.94,30.07,26.9,25.69,25.87,25.08,23.2,21.44,27.32
T2M,1990,23.67,27.12,30.26,34.52,31.65,27.84,26.9,26.47,25.94,24.58,23.08,21.88,26.98
T2M,1991,23.44,27.43,32.12,34.9,37.72,29.96,26.8,25.67,26.47,24.9,22.58,21.51,27.79
T2M,1992,22.26,25.86,31.34,34.64,36.73,32.23,27.94,25.73,25.53,25.48,24.15,21.62,27.79
T2M,1993,23.8,25.32,29.52,34.48,37.26,31.91,27.23,26.4,26.23,25.56,22.49,20.43,27.55
T2M,1994,23.94,26.18,31.79,33.92,36.68,30.77,26.55,26.02,25.41,24.9,22.51,20.26,27.41
T2M,1995,19.9,24.92,30.47,33.78,32.67,32.19,26.77,26.68,26.19,24.78,21.62,21.24,26.76
T2M,1996,23.51,25.69,31.33,32.88,36.45,32.05,27.67,26.39,26.29,24.37,22.47,21.51,27.55
T2M,1997,21.12,24.55,30.93,31.0,34.62,31.49,27.65,26.39,26.37,26.37,25.64,24.03,27.52
T2M,1998,24.9,25.23,30.75,34.77,37.55,32.59,28.01,26.98,26.41,25.48,22.5,19.63,27.91
T2M,1999,21.34,27.23,31.32,34.58,33.62,29.33,27.8,26.3,26.05,25.57,23.22,21.4,27.3
T2M,2000,23.7,25.86,28.94,35.58,34.2,28.9,27.25,26.69,26.44,26.74,24.85,22.56,27.64
T2M,2001,23.7,26.93,30.87,32.39,36.65,29.12,28.58,26.18,27.14,25.43,24.56,22.0,27.8
T2M,2002,22.55,26.81,31.1,35.34,36.61,30.5,28.78,26.14,26.44,26.12,24.3,23.99,28.23
T2M,2003,24.11,28.12,30.62,34.77,36.66,32.39,27.0,26.1,26.12,24.99,22.37,20.76,27.82
T2M,2004,21.83,23.49,31.01,34.02,33.62,31.62,27.09,26.87,27.05,25.41,24.03,22.26,27.36
T2M,2005,23.65,26.14,30.4,33.83,36.02,32.71,26.87,26.28,26.18,24.74,19.73,19.32,27.15
T2M,2006,21.3,26.32,28.94,33.55,32.99,30.98,28.01,26.16,26.1,25.36,22.87,21.9,27.03
T2M,2007,22.81,26.07,30.51,34.05,36.58,30.47,28.08,26.7,26.25,23.19,21.8,22.58,27.43
T2M,2008,22.9,25.04,29.04,32.01,36.08,29.53,28.01,26.24,25.9,24.77,23.38,23.13,27.18
T2M,2009,24.04,27.95,30.96,34.31,35.72,31.92,27.67,27.48,27.07,25.44,23.77,22.28,28.21
T2M,2010,22.2,27.58,32.4,35.73,36.22,32.67,26.94,26.52,25.81,24.97,24.16,19.76,27.9
T2M,2011,20.18,24.9,30.0,32.75,36.01,30.94,27.81,26.71,26.38,26.35,24.77,22.99,27.49
T2M,2012,24.16,26.52,29.64,34.55,36.93,31.36,27.17,26.45,26.1,24.41,22.79,22.76,27.73
T2M,2013,24.16,25.82,30.26,33.3,36.56,28.37,26.4,25.84,26.24,24.84,21.74,19.65,26.94
T2M,2014,22.17,24.72,28.23,34.04,33.89,33.54,28.65,27.91,26.21,26.32,24.76,22.22,27.73
T2M,2015,21.07,26.01,29.24,32.04,36.06,30.4,29.28,27.95,27.68,28.12,26.75,25.48,28.35
T2M,2016,23.67,28.34,31.29,35.45,35.5,30.63,26.96,26.89,25.85,23.86,21.0,20.62,27.49
T2M,2017,22.28,26.3,29.76,34.74,36.08,29.62,27.77,26.77,27.03,25.72,23.17,21.26,27.54
T2M,2018,21.89,25.96,30.75,33.98,35.44,30.01,27.08,26.3,26.05,25.96,25.6,21.98,27.58
T2M,2019,21.44,25.8,30.98,34.48,37.07,33.51,28.65,26.55,26.39,25.31,22.28,20.76,27.77
T2M,2020,21.74,24.5,29.76,33.86,35.77,29.14,27.33,26.46,26.69,25.09,22.03,20.51,26.91
T2M,2021,22.95,24.39,30.05,33.29,33.9,28.36,27.05,26.73,26.38,25.07,23.62,21.02,26.91
QV2M,1981,8.73,6.53,9.95,8.54,13.24,16.24,18.43,18.37,18.74,16.17,11.78,10.07,13.12
QV2M,1982,10.38,8.85,8.06,9.77,12.76,15.44,17.64,18.01,17.82,16.36,14.22,10.62,13.37
QV2M,1983,7.39,7.81,6.35,8.79,11.23,14.53,18.25,18.86,18.98,16.3,10.86,9.83,12.45
QV2M,1984,10.5,9.22,6.9,9.58,8.79,15.56,17.94,17.52,17.03,14.47,8.54,6.96,11.9
QV2M,1985,10.44,5.86,7.02,9.03,10.25,17.09,17.33,18.01,17.15,14.16,10.13,8.48,12.15
QV2M,1986,8.42,10.68,8.48,9.89,8.97,15.62,17.4,17.88,17.7,13.79,11.17,9.28,12.45
QV2M,1987,9.16,6.65,8.3,8.3,10.8,15.5,17.21,18.37,17.4,15.5,13.18,8.97,12.51
QV2M,1988,8.54,8.91,7.32,11.66,9.95,15.62,18.86,19.23,19.29,14.71,10.19,8.24,12.7
QV2M,1989,6.04,3.78,8.61,6.96,9.83,15.56,18.49,18.25,18.25,14.89,11.29,8.48,11.78
QV2M,1990,5.8,7.14,8.73,7.87,15.87,18.01,17.64,18.49,18.37,16.6,14.1,11.11,13.37
QV2M,1991,8.3,6.35,8.12,9.4,10.44,17.58,18.43,18.07,17.82,15.01,11.96,8.97,12.57
QV2M,1992,6.9,5.49,5.19,8.12,10.07,15.5,17.58,18.31,17.21,14.95,12.76,8.67,11.72
QV2M,1993,6.16,5.07,7.81,8.79,9.52,14.95,17.88,18.07,18.07,17.03,11.23,7.26,11.84
QV2M,1994,8.61,7.93,6.84,9.7,10.74,16.17,17.88,18.19,17.15,16.78,13.18,8.48,12.63
QV2M,1995,8.79,8.48,9.89,10.19,12.57,15.08,18.55,18.86,18.31,17.15,12.51,10.56,13.43
QV2M,1996,9.52,9.03,6.59,11.05,8.18,15.08,17.76,18.43,18.55,16.05,11.54,7.75,12.45
QV2M,1997,8.42,4.64,6.53,11.54,10.5,15.14,18.01,18.01,18.31,15.01,14.89,13.06,12.88
QV2M,1998,9.83,9.7,8.36,9.83,10.74,15.56,18.55,19.65,19.23,17.82,13.79,8.18,13.43
QV2M,1999,6.9,8.18,5.25,6.41,13.79,16.11,17.27,18.01,18.07,16.11,10.13,6.9,11.96
QV2M,2000,5.92,10.01,5.74,8.42,13.06,17.15,17.82,18.31,18.01,14.59,9.64,4.09,11.9
QV2M,2001,6.35,5.07,9.34,11.9,11.17,16.36,16.72,18.25,18.01,16.24,12.15,6.71,12.39
QV2M,2002,8.73,8.06,7.75,9.46,11.72,17.4,17.4,18.31,17.46,14.65,8.54,7.02,12.21
QV2M,2003,6.9,9.46,9.09,10.01,8.0,14.53,18.62,18.86,18.68,16.91,12.27,9.4,12.76
QV2M,2004,9.46,8.36,7.63,10.62,13.98,15.26,18.13,18.07,17.94,15.01,10.74,7.32,12.76
QV2M,2005,8.54,8.73,8.06,11.05,10.38,15.44,18.74,18.86,19.1,16.97,10.74,9.52,13.0
QV2M,2006,7.75,6.71,10.56,10.74,14.77,16.05,17.52,18.37,18.55,16.11,13.55,10.44,13.49
QV2M,2007,8.24,8.0,8.0,10.13,11.05,17.52,18.01,18.43,19.1,14.28,10.74,9.64,12.76
QV2M,2008,6.77,8.42,10.01,11.23,8.97,16.3,17.64,18.68,18.31,15.38,12.63,8.91,12.76
QV2M,2009,8.18,6.59,6.84,8.18,11.54,15.93,17.94,18.49,18.98,14.59,13.0,9.83,12.51
QV2M,2010,7.2,8.24,7.81,9.34,11.9,15.69,19.04,19.29,18.8,17.4,16.3,10.93,13.55
QV2M,2011,8.42,9.7,7.69,10.93,10.62,16.17,18.13,18.55,18.25,14.95,9.89,6.9,12.51
QV2M,2012,7.93,6.04,4.82,10.38,9.64,15.2,17.88,18.43,18.68,15.38,13.12,9.7,12.27
QV2M,2013,8.54,9.16,7.81,10.93,11.41,17.94,18.31,18.49,18.55,17.09,13.43,10.13,13.49
QV2M,2014,10.25,8.36,11.17,9.28,13.0,14.65,16.97,17.82,17.4,14.47,10.07,7.39,12.57
QV2M,2015,7.51,6.84,9.7,11.11,10.86,16.66,17.21,17.88,17.64,13.98,11.41,8.61,12.51
QV2M,2016,6.41,8.67,9.7,9.34,12.63,17.03,18.55,18.43,18.49,15.08,10.8,8.3,12.82
QV2M,2017,6.77,5.55,7.87,6.71,11.66,17.7,18.07,18.31,18.8,16.66,12.21,7.81,12.39
QV2M,2018,5.19,6.53,6.84,10.44,13.06,17.03,18.01,18.25,17.52,13.98,10.56,8.79,12.21
