PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
TS,1981,24.48,28.89,31.4,36.29,35.1,32.12,27.78,26.79,26.5,25.19,22.18,21.99,28.21
TS,1982,24.46,29.58,33.33,35.39,35.73,31.66,28.19,27.21,26.83,25.9,24.22,23.4,28.81
TS,1983,25.4,30.21,33.48,36.39,37.9,32.76,28.99,27.25,26.57,25.29,21.85,22.51,29.04
TS,1984,25.88,28.44,32.69,36.19,39.05,31.83,28.07,27.88,28.26,26.47,24.8,25.9,29.62
TS,1985,25.3,29.69,32.46,37.16,37.98,29.37,27.79,27.15,27.48,24.45,23.6,24.39,28.89
TS,1986,24.24,27.94,33.26,35.91,38.56,31.93,29.55,27.89,28.69,28.23,25.11,25.05,29.7
TS,1987,25.83,27.72,31.31,36.28,37.15,33.9,29.48,28.32,28.76,26.08,23.76,21.85,29.2
TS,1988,24.42,28.77,33.43,34.51,38.9,33.65,27.69,27.01,26.49,24.72,22.23,23.14,28.74
TS,1989,24.65,28.15,31.76,36.48,37.76,31.07,28.1,26.67,26.24,25.56,23.32,23.51,28.6
TS,1990,25.34,29.26,32.31,36.41,31.76,28.74,28.46,27.66,27.1,25.58,24.93,24.63,28.5
TS,1991,26.9,29.62,33.72,36.86,38.99,30.14,27.86,27.1,27.62,25.28,22.19,21.19,28.94
TS,1992,21.97,28.28,32.59,36.1,38.62,33.26,28.98,26.73,26.48,25.68,24.3,20.72,28.63
TS,1993,24.28,27.69,33.15,36.02,39.22,33.12,28.76,27.88,26.89,25.82,23.51,21.98,29.03
TS,1994,25.22,28.6,33.77,36.75,38.28,32.34,27.91,27.4,27.01,25.64,22.7,19.6,28.76
TS,1995,21.4,26.97,32.52,36.02,31.96,31.99,27.93,27.44,26.89,25.73,22.83,21.11,27.72
TS,1996,24.56,27.83,32.96,35.26,37.87,31.0,28.04,27.38,26.98,25.5,22.54,21.86,28.48
TS,1997,22.87,27.03,32.98,33.9,37.62,33.55,28.94,27.85,26.98,26.02,25.57,24.19,28.96
TS,1998,25.3,29.06,34.24,36.76,39.44,33.3,29.41,27.63,27.03,25.7,23.48,19.12,29.19
TS,1999,21.51,27.81,33.61,36.22,34.25,30.89,29.22,28.27,27.95,26.79,25.4,24.35,28.85
TS,2000,26.48,29.07,31.29,37.05,35.35,28.76,27.78,26.99,26.84,25.72,24.33,22.26,28.48
TS,2001,25.62,28.74,33.12,33.17,37.43,30.48,30.19,27.16,27.81,25.76,24.76,22.48,28.89
TS,2002,24.52,28.8,33.18,36.92,38.28,31.47,30.87,27.76,28.9,26.54,23.83,23.79,29.57
TS,2003,25.6,30.17,32.85,36.18,38.75,33.98,28.03,27.23,27.21,26.16,23.38,22.05,29.28
TS,2004,23.23,26.8,32.98,35.72,33.24,31.78,28.19,28.56,27.87,25.98,24.4,23.68,28.53
TS,2005,26.51,29.07,33.15,35.71,37.05,32.94,28.21,27.05,26.55,25.69,20.6,19.92,28.53
TS,2006,20.82,26.07,31.44,35.26,33.98,30.63,29.88,26.85,26.96,26.24,23.45,21.05,27.72
TS,2007,22.72,26.94,32.67,35.96,38.15,30.58,28.17,27.19,26.57,24.12,21.65,22.44,28.1
TS,2008,23.58,27.33,29.94,33.26,37.45,31.13,29.62,26.89,26.57,25.25,23.28,22.93,28.1
TS,2009,24.62,29.58,33.06,36.48,35.29,31.37,30.15,28.94,27.56,26.08,24.74,23.65,29.28
TS,2010,24.97,29.58,34.04,36.9,36.39,31.85,27.86,27.59,26.58,25.87,24.65,20.44,28.87
TS,2011,21.17,26.19,31.76,34.79,37.12,32.1,29.44,28.08,28.0,28.57,26.8,26.11,29.19
TS,2012,25.39,28.76,32.73,35.88,36.65,33.0,28.59,27.49,27.09,25.3,23.28,23.48,28.96
TS,2013,25.69,27.4,31.72,35.19,37.29,29.73,28.01,27.35,26.8,25.77,23.01,20.16,28.18
TS,2014,22.99,26.04,31.4,36.53,35.26,35.62,30.94,29.17,27.48,27.3,24.15,23.44,29.2
TS,2015,24.51,28.04,32.46,35.08,37.85,29.82,30.75,29.12,28.37,29.15,26.91,26.15,29.87
TS,2016,26.2,29.98,33.11,36.65,35.84,29.86,28.33,28.71,26.73,25.19,24.15,23.85,29.04
