PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
TS,1981,21.26,26.92,29.72,35.33,34.59,31.23,26.0,24.65,24.76,23.46,20.04,20.27,26.5
TS,1982,23.86,27.98,31.93,34.09,34.55,30.41,26.68,25.31,24.96,24.07,23.04,22.82,27.46
TS,1983,23.88,27.59,31.64,35.98,37.98,33.01,27.2,25.26,25.0,23.15,19.22,21.08,27.58
TS,1984,24.44,27.08,31.4,36.45,38.68,30.33,25.9,25.14,25.6,24.86,22.48,24.18,28.04
TS,1985,26.58,26.96,32.05,35.02,38.32,28.4,25.85,25.34,26.21,23.53,23.26,23.74,27.94
TS,1986,22.64,27.01,33.13,36.08,37.15,29.87,26.55,25.08,25.66,26.83,25.4,24.47,28.33
TS,1987,23.88,26.76,30.46,35.44,34.88,32.84,26.83,26.01,26.83,25.33,22.75,20.55,27.7
TS,1988,25.04,27.98,31.3,34.99,38.36,31.91,26.51,25.63,25.4,22.72,20.49,21.35,27.63
TS,1989,23.53,25.85,29.26,34.91,37.87,29.86,26.07,24.58,24.92,23.92,23.42,22.07,27.19
TS,1990,23.68,27.3,30.87,35.48,32.24,26.93,26.05,25.37,25.08,23.48,22.33,21.98,26.72
TS,1991,24.31,28.19,33.46,36.44,38.98,29.94,25.8,24.84,25.56,24.55,23.01,21.94,28.08
TS,1992,22.88,25.61,31.59,36.26,37.76,32.02,27.36,24.96,24.4,24.64,23.62,20.93,27.66
TS,1993,23.79,25.22,30.28,35.74,37.92,32.37,26.42,25.48,25.12,24.51,21.58,19.56,27.33
TS,1994,24.08,27.05,32.66,34.66,37.72,30.43,25.78,25.12,24.38,23.96,21.38,19.47,27.22
TS,1995,19.65,25.73,31.72,35.19,34.67,32.46,25.97,25.72,25.29,23.67,20.3,20.37,26.72
TS,1996,23.71,26.73,32.25,33.94,37.0,32.8,27.19,25.33,25.25,23.26,20.69,20.08,27.34
TS,1997,20.83,23.53,31.39,31.7,35.34,31.73,27.08,25.74,25.45,25.94,25.51,24.3,27.4
TS,1998,25.53,26.01,31.96,37.17,39.07,32.92,27.65,26.12,25.22,24.4,21.47,17.81,27.94
TS,1999,20.89,27.83,31.8,35.62,34.63,29.08,27.39,25.51,25.23,25.08,23.38,21.88,27.34
TS,2000,24.04,26.12,28.72,36.58,34.76,28.11,26.2,25.79,25.5,26.12,25.34,21.76,27.41
TS,2001,24.13,26.87,31.15,33.98,37.46,28.39,27.94,25.07,26.11,23.81,23.65,21.85,27.54
TS,2002,22.63,28.33,31.95,36.48,37.05,30.18,28.27,25.3,25.64,25.66,24.1,24.12,28.3
TS,2003,24.76,29.43,32.01,36.24,37.37,32.3,26.27,25.29,25.36,24.3,22.09,21.51,28.05
TS,2004,23.18,24.44,32.07,34.48,34.19,31.68,26.3,25.78,26.31,25.05,24.62,22.62,27.56
TS,2005,24.23,26.63,31.1,34.76,37.15,32.69,26.04,25.31,25.25,23.73,17.97,18.39,26.93
TS,2006,20.73,26.47,29.82,34.19,33.88,30.22,27.16,25.17,25.25,24.24,21.95,21.71,26.73
TS,2007,23.48,27.08,31.9,35.31,37.69,30.32,27.44,25.73,25.19,22.07,20.57,22.28,27.42
TS,2008,23.02,24.76,29.8,32.17,36.55,29.78,28.08,25.3,24.94,23.2,22.19,21.96,26.82
TS,2009,24.29,28.27,31.58,34.86,36.29,31.61,27.33,27.53,26.02,23.81,23.24,22.53,28.1
TS,2010,22.59,28.57,33.28,36.89,37.81,32.23,25.87,25.6,24.9,23.81,23.54,19.47,27.86
TS,2011,20.83,26.2,31.39,34.74,37.16,30.94,26.86,25.59,25.21,24.74,23.84,22.95,27.54
TS,2012,24.12,27.26,30.02,36.14,37.33,31.39,26.56,25.8,25.38,23.67,23.44,24.01,27.92
