PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
TS,1981,22.14,27.14,30.0,35.98,34.25,31.52,26.71,25.47,25.52,24.11,20.61,20.44,26.98
TS,1982,23.26,28.47,32.77,34.58,35.35,31.37,27.55,25.95,25.62,24.65,22.97,21.85,27.85
TS,1983,23.08,28.4,32.44,36.51,37.88,33.4,27.86,26.13,25.75,24.06,19.9,21.08,28.03
TS,1984,24.32,27.49,31.99,36.21,39.33,30.83,26.53,25.89,26.13,25.37,22.8,24.3,28.44
TS,1985,25.86,28.11,32.63,35.7,38.21,28.51,26.16,25.91,25.94,23.67,22.65,22.89,28.01
TS,1986,22.76,26.82,32.77,35.98,38.09,31.61,27.6,26.01,26.64,26.77,25.01,24.3,28.7
TS,1987,24.2,26.5,30.51,35.83,36.45,33.63,27.82,27.0,27.94,26.15,23.58,21.62,28.44
TS,1988,24.4,28.18,32.05,34.51,38.84,32.88,26.98,26.15,25.8,23.3,20.51,21.24,27.9
TS,1989,22.73,26.43,29.86,35.81,38.72,30.47,26.85,25.34,25.44,24.12,22.31,21.23,27.44
TS,1990,23.58,28.19,31.44,36.26,32.31,27.75,27.01,26.37,25.67,24.26,23.01,22.07,27.31
TS,1991,24.07,28.3,33.58,36.66,40.0,30.34,26.78,25.52,26.03,24.38,22.39,21.44,28.29
TS,1992,22.55,26.88,32.36,36.36,38.52,32.83,28.01,25.44,25.26,25.1,24.06,21.05,28.19
TS,1993,23.87,26.03,31.7,36.07,39.29,33.09,27.54,26.27,25.91,25.26,22.56,20.05,28.14
TS,1994,24.15,27.44,33.27,35.75,38.48,31.55,26.85,25.99,25.34,24.56,21.83,19.29,27.87
TS,1995,20.01,25.45,31.75,35.34,33.26,32.38,26.6,26.32,25.75,24.51,20.96,19.97,26.85
TS,1996,22.91,26.07,32.33,34.25,37.64,32.34,27.84,26.31,25.98,24.14,21.37,20.68,27.65
TS,1997,20.98,24.08,31.76,32.46,35.98,32.73,28.01,26.29,26.21,26.23,25.98,24.55,27.95
TS,1998,25.48,27.0,33.02,36.63,39.41,33.42,28.42,26.74,26.11,25.13,22.2,18.15,28.48
TS,1999,20.71,27.53,32.26,35.72,34.51,29.69,28.25,26.46,26.23,26.21,23.94,22.33,27.81
TS,2000,24.59,27.41,29.72,37.12,35.3,28.69,27.19,26.42,26.04,25.87,24.55,21.46,27.85
TS,2001,24.25,27.42,31.8,34.13,38.32,29.48,28.84,26.03,26.97,25.05,24.76,21.71,28.23
TS,2002,23.32,27.97,32.37,37.48,37.67,31.01,29.22,26.05,26.62,25.94,23.63,23.69,28.74
TS,2003,24.87,29.43,32.15,36.24,38.01,33.27,27.0,25.83,25.95,24.88,21.55,20.46,28.29
TS,2004,21.88,24.15,31.89,34.9,34.21,32.32,27.15,27.05,26.92,25.68,24.17,22.49,27.73
TS,2005,24.51,26.9,31.58,35.53,37.58,33.12,26.78,25.89,25.69,24.47,18.61,18.07,27.39
TS,2006,19.58,25.01,30.09,34.71,33.67,30.85,28.59,25.81,25.78,24.71,22.28,21.1,26.85
TS,2007,22.39,26.83,31.98,35.73,38.15,30.76,28.33,26.62,25.85,22.73,20.74,22.11,27.69
TS,2008,22.56,25.6,29.63,32.36,37.08,30.39,28.73,25.9,25.56,24.12,22.1,21.92,27.17
TS,2009,23.42,28.57,32.03,35.86,36.94,31.94,28.4,27.73,26.65,25.01,23.92,22.3,28.55
TS,2010,22.77,28.65,33.6,37.41,37.42,33.12,26.77,26.25,25.34,24.65,23.72,18.86,28.19
TS,2011,19.31,24.89,31.03,34.61,37.44,32.08,28.2,26.96,26.51,27.27,25.3,23.72,28.12
TS,2012,25.08,27.51,30.73,36.33,38.29,32.0,27.58,26.4,26.05,24.3,23.26,23.08,28.38
TS,2013,25.05,26.87,31.6,34.88,37.9,28.53,26.51,25.74,25.97,24.57,21.56,18.69,27.33
