YEAR,MO,DY,T2M,QV2M,RH2M,WS10M
1982,1,1,19.68,8.54,61.94,2.47
1982,1,2,20.92,8.79,58.69,1.85
1982,1,3,21.47,8.91,57.69,2.27
1982,1,4,21.26,10.07,66.19,3.31
1982,1,5,20.67,10.74,71.0,2.31
1982,1,6,19.62,10.5,73.06,1.8
1982,1,7,21.43,9.52,62.06,1.59
1982,1,8,21.4,10.44,66.81,2.87
1982,1,9,21.55,10.01,64.62,3.62
1982,1,10,22.55,10.99,65.81,3.22
1982,1,11,21.25,12.27,76.69,2.09
1982,1,12,18.85,11.84,85.12,2.31
1982,1,13,20.82,11.05,73.06,3.3
1982,1,14,21.3,10.31,66.88,2.4
1982,1,15,22.48,10.68,64.5,2.73
1982,1,16,23.51,10.86,61.88,1.88
1982,1,17,24.55,10.86,57.75,1.99
1982,1,18,24.1,10.99,59.88,2.14
1982,1,19,24.8,11.17,58.12,2.53
1982,1,20,24.34,10.8,58.31,2.12
1982,1,21,24.97,10.86,56.0,3.02
1982,1,22,24.77,10.99,57.38,3.05
1982,1,23,24.23,11.23,60.44,1.59
1982,1,24,23.85,10.31,57.56,2.91
1982,1,25,23.4,11.11,62.19,4.71
1982,1,26,22.35,9.34,58.0,4.72
1982,1,27,22.71,10.74,63.25,2.8
1982,1,28,23.55,11.11,62.12,1.98
1982,1,29,22.98,11.66,67.44,2.55
1982,1,30,22.76,11.6,67.75,2.95
1982,1,31,21.73,11.72,73.75,2.84
1982,2,1,20.8,12.02,79.06,2.84
1982,2,2,21.99,11.17,69.69,2.16
1982,2,3,23.94,11.05,60.81,3.34
1982,2,4,23.12,10.99,63.5,2.66
1982,2,5,21.55,10.38,66.62,3.19
1982,2,6,21.02,8.91,60.12,3.2
1982,2,7,21.55,8.61,56.25,2.44
1982,2,8,21.87,8.61,55.62,2.59
1982,2,9,22.68,8.0,49.56,2.41
1982,2,10,22.24,8.3,53.56,2.7
1982,2,11,23.92,8.12,47.38,2.34
1982,2,12,24.15,9.16,51.12,3.8
1982,2,13,23.48,9.77,57.75,2.51
1982,2,14,23.8,8.79,50.5,2.38
1982,2,15,25.15,9.52,50.56,2.35
1982,2,16,26.36,9.89,48.25,3.51
1982,2,17,23.66,8.36,50.31,2.66
1982,2,18,24.35,9.83,53.38,2.54
1982,2,19,23.78,7.51,44.31,2.28
1982,2,20,24.83,7.75,43.19,2.2
1982,2,21,25.57,9.28,46.12,2.98
1982,2,22,26.01,9.46,45.56,2.16
1982,2,23,27.69,10.13,45.69,3.15
1982,2,24,26.11,10.01,49.69,3.68
1982,2,25,26.72,9.22,43.69,3.27
1982,2,26,27.95,9.16,41.06,2.71
1982,2,27,28.05,8.61,38.94,2.77
1982,2,28,28.21,8.67,38.75,4.77
1982,3,1,26.53,8.0,39.25,2.75
1982,3,2,24.85,7.26,39.81,3.09
1982,3,3,24.92,8.3,43.94,2.92
1982,3,4,27.48,9.95,45.81,2.5
1982,3,5,28.16,7.69,35.0,3.41
1982,3,6,25.4,6.65,34.31,3.91
1982,3,7,25.58,5.8,31.69,2.84
1982,3,8,27.94,8.12,35.56,2.89
1982,3,9,28.08,7.51,34.62,3.09
1982,3,10,27.66,6.84,32.75,2.2
1982,3,11,28.16,7.93,34.19,2.46
1982,3,12,27.31,4.33,20.62,2.92
1982,3,13,27.68,5.49,25.94,3.51
1982,3,14,28.33,4.39,20.56,3.14
1982,3,15,28.93,5.37,23.12,2.6
1982,3,16,30.62,5.74,22.19,3.07
1982,3,17,30.85,6.04,22.56,1.55
1982,3,18,30.22,5.31,21.06,2.0
1982,3,19,31.26,7.63,27.94,2.43
1982,3,20,31.86,7.2,25.25,2.16
1982,3,21,31.66,7.32,26.12,2.91
1982,3,22,32.44,8.0,26.94,3.04
1982,3,23,32.01,8.91,30.38,2.55
1982,3,24,30.69,11.17,40.5,2.22
1982,3,25,31.15,8.42,30.69,3.38
1982,3,26,29.43,6.59,26.94,3.23
1982,3,27,29.66,6.96,27.88,4.2
1982,3,28,29.9,5.74,23.69,3.85
1982,3,29,31.49,7.45,26.5,2.88
