YEAR,MO,DY,T2M,QV2M,RH2M,WS10M
1982,1,1,21.65,8.97,57.06,1.6
1982,1,2,22.43,8.67,53.31,1.41
1982,1,3,22.34,9.7,59.88,2.53
1982,1,4,22.08,10.5,66.25,3.47
1982,1,5,21.95,11.17,69.38,2.58
1982,1,6,22.59,10.8,63.88,1.73
1982,1,7,22.47,9.77,60.06,2.25
1982,1,8,22.35,10.99,67.62,3.59
1982,1,9,22.12,10.31,65.38,3.78
1982,1,10,22.83,10.19,61.88,3.91
1982,1,11,22.13,11.11,67.44,1.96
1982,1,12,20.84,10.5,69.81,2.18
1982,1,13,21.62,10.01,65.38,3.34
1982,1,14,22.36,10.38,64.75,3.65
1982,1,15,23.08,10.56,62.94,3.45
1982,1,16,24.26,10.5,58.5,2.37
1982,1,17,25.19,10.31,53.19,2.16
1982,1,18,25.3,10.8,55.62,2.37
1982,1,19,25.25,10.99,56.44,3.04
1982,1,20,25.01,10.68,56.75,3.14
1982,1,21,25.15,10.68,56.31,4.59
1982,1,22,24.99,10.13,54.38,4.09
1982,1,23,25.44,9.89,50.81,2.6
1982,1,24,25.05,9.83,51.62,3.58
1982,1,25,24.48,11.29,60.31,4.99
1982,1,26,22.99,9.89,60.0,3.92
1982,1,27,24.33,10.5,58.0,3.31
1982,1,28,24.74,10.56,56.44,3.56
1982,1,29,24.94,10.62,56.88,2.92
1982,1,30,24.69,10.68,56.88,3.51
1982,1,31,23.9,10.68,60.19,3.06
1982,2,1,23.83,11.23,63.69,2.41
1982,2,2,24.3,11.05,61.31,1.95
1982,2,3,25.01,10.13,53.81,4.09
1982,2,4,25.23,10.25,53.38,3.37
1982,2,5,24.67,10.01,54.88,2.98
1982,2,6,24.78,8.54,46.31,2.99
1982,2,7,24.96,8.24,44.38,1.83
1982,2,8,25.3,8.48,45.31,2.13
1982,2,9,25.75,6.77,35.81,1.84
1982,2,10,25.57,6.59,36.0,2.38
1982,2,11,26.13,6.16,32.12,2.33
1982,2,12,27.46,9.89,47.12,4.3
1982,2,13,27.89,9.77,44.75,2.12
1982,2,14,28.8,8.67,37.06,1.64
1982,2,15,29.33,8.12,33.25,1.73
1982,2,16,29.8,8.97,35.88,4.3
1982,2,17,28.04,9.09,42.25,2.79
1982,2,18,28.09,10.74,49.38,3.84
1982,2,19,27.3,7.81,38.12,2.03
1982,2,20,28.01,6.65,30.69,2.1
1982,2,21,28.15,9.58,41.38,2.83
1982,2,22,29.59,9.16,37.06,2.73
1982,2,23,30.02,8.73,34.81,3.26
1982,2,24,29.11,8.24,34.94,2.16
1982,2,25,28.5,8.91,38.75,2.95
1982,2,26,29.31,8.67,37.94,4.09
1982,2,27,29.66,9.09,38.25,5.12
1982,2,28,29.83,7.57,32.81,5.49
1982,3,1,29.55,8.12,34.62,4.62
1982,3,2,28.58,7.75,34.12,2.66
1982,3,3,29.06,9.83,41.12,2.9
1982,3,4,29.53,10.25,42.5,3.16
1982,3,5,30.61,7.2,28.81,4.67
1982,3,6,28.19,5.43,25.0,3.33
1982,3,7,28.71,7.75,33.38,1.97
1982,3,8,30.49,8.61,36.56,2.95
1982,3,9,30.03,7.57,32.31,3.23
1982,3,10,29.96,9.7,41.25,3.02
1982,3,11,30.51,10.31,42.56,3.37
1982,3,12,31.02,9.34,35.62,2.04
1982,3,13,30.09,5.74,22.38,2.91
1982,3,14,29.58,4.27,18.69,2.74
1982,3,15,30.14,7.81,32.88,2.8
1982,3,16,32.12,8.79,32.06,3.3
1982,3,17,32.26,9.58,35.25,3.17
1982,3,18,32.26,9.58,34.12,3.97
1982,3,19,31.61,8.91,34.38,3.99
1982,3,20,31.35,8.73,32.56,2.84
1982,3,21,32.14,7.57,26.88,3.23
1982,3,22,32.15,8.24,29.5,2.74
1982,3,23,32.46,8.48,29.94,3.08
1982,3,24,32.75,8.42,28.38,1.35
1982,3,25,33.05,8.42,28.06,2.87
1982,3,26,31.8,6.77,24.31,1.66
1982,3,27,31.89,9.16,32.31,2.38
1982,3,28,31.76,6.77,25.0,3.55
1982,3,29,32.12,9.28,33.81,3.14
1982,3,30,32.91,7.32,25.5,2.44
1982,3,31,34.5,5.25,16.44,2.08
1982,4,1,34.43,4.52,14.69,2.88
1982,4,2,33.76,4.82,15.69,2.77
1982,4,3,34.26,4.52,14.38,2.78
1982,4,4,34.26,5.19,16.31,2.4
1982,4,5,34.42,6.71,21.06,1.8
1982,4,6,33.97,10.86,35.94,4.82
1982,4,7,32.55,10.38,38.12,4.91
1982,4,8,33.94,8.61,30.0,3.19
1982,4,9,34.82,7.87,24.94,2.88
1982,4,10,35.21,9.46,28.25,5.2
1982,4,11,32.15,10.99,38.44,4.91
1982,4,12,31.77,10.19,37.56,3.19
1982,4,13,32.19,10.93,38.88,3.52
1982,4,14,33.01,8.79,29.62,4.14
1982,4,15,33.98,9.4,31.0,4.16
1982,4,16,33.12,11.11,35.62,2.61
1982,4,17,30.34,11.96,44.25,3.5
1982,4,18,32.51,11.6,40.44,3.27
1982,4,19,33.12,12.39,40.94,4.19
1982,4,20,33.68,12.63,40.06,4.12
1982,4,21,30.94,12.51,45.62,5.58
1982,4,22,32.88,11.9,39.94,2.29
1982,4,23,34.26,12.76,40.25,2.35
1982,4,24,35.13,10.74,32.06,2.44
1982,4,25,33.44,10.56,34.75,3.55
1982,4,26,32.39,8.97,31.06,4.22
1982,4,27,33.17,8.06,26.62,2.91
1982,4,28,34.42,10.86,33.88,3.41
1982,4,29,34.68,11.35,33.5,3.16
1982,4,30,34.69,10.8,33.12,3.7
1982,5,1,34.17,12.45,38.06,4.79
1982,5,2,34.48,13.12,39.69,2.94
1982,5,3,33.9,14.22,44.56,3.88
1982,5,4,34.83,12.39,36.25,4.19
1982,5,5,36.23,11.47,31.5,2.62
1982,5,6,36.41,10.13,28.19,3.55
1982,5,7,34.82,9.28,27.69,3.44
1982,5,8,35.56,9.34,26.75,3.69
1982,5,9,35.99,10.93,29.62,1.3
1982,5,10,35.59,11.41,31.81,2.99
1982,5,11,34.94,11.66,34.0,4.38
1982,5,12,35.11,12.63,36.62,3.8
1982,5,13,34.24,13.61,42.06,4.72
1982,5,14,33.33,14.71,46.56,6.38
1982,5,15,31.9,15.26,51.88,5.13
1982,5,16,30.39,15.44,57.0,3.67
1982,5,17,30.78,15.56,56.62,2.37
1982,5,18,31.73,14.16,50.81,2.58
