YEAR,MO,DY,T2M,QV2M,RH2M,WS10M
1982,1,1,21.23,10.68,70.19,1.73
1982,1,2,21.58,10.8,69.88,1.69
1982,1,3,21.71,11.54,73.62,2.47
1982,1,4,21.53,11.72,74.94,3.09
1982,1,5,21.37,12.15,77.69,2.09
1982,1,6,21.41,11.9,76.19,2.09
1982,1,7,22.06,11.41,72.19,2.84
1982,1,8,21.95,11.9,74.44,3.57
1982,1,9,21.57,11.29,72.75,3.37
1982,1,10,21.69,11.11,71.19,3.35
1982,1,11,21.97,11.05,70.19,2.96
1982,1,12,21.55,10.93,71.19,3.0
1982,1,13,21.68,10.86,70.38,3.23
1982,1,14,22.05,11.41,71.44,3.4
1982,1,15,22.51,11.78,71.94,2.98
1982,1,16,23.78,11.35,65.44,1.98
1982,1,17,24.36,11.96,66.19,2.26
1982,1,18,24.74,12.39,66.62,2.77
1982,1,19,24.48,12.45,67.69,3.04
1982,1,20,24.26,12.02,67.06,2.93
1982,1,21,24.1,11.84,66.44,4.05
1982,1,22,23.79,11.29,65.19,3.82
1982,1,23,24.22,10.8,61.62,2.83
1982,1,24,24.13,11.54,64.69,3.49
1982,1,25,24.08,11.9,66.75,4.41
1982,1,26,22.94,10.99,66.69,3.73
1982,1,27,23.72,11.11,64.62,3.06
1982,1,28,24.05,11.29,64.06,3.68
1982,1,29,24.08,11.11,63.31,3.38
1982,1,30,23.69,10.8,62.25,3.12
1982,1,31,23.52,10.74,62.56,3.27
1982,2,1,24.26,11.41,63.38,2.23
1982,2,2,24.4,11.47,63.19,2.55
1982,2,3,24.65,11.23,62.06,3.57
1982,2,4,25.55,11.84,61.56,3.35
1982,2,5,26.33,11.54,56.38,1.1
1982,2,6,26.48,10.19,49.5,1.23
1982,2,7,26.06,11.72,58.06,2.21
1982,2,8,26.55,11.9,58.56,2.1
1982,2,9,26.67,9.34,47.56,1.15
1982,2,10,26.51,8.18,42.88,1.91
1982,2,11,26.24,8.36,43.0,2.32
1982,2,12,27.03,11.78,58.38,5.08
1982,2,13,27.61,11.29,53.69,3.45
1982,2,14,28.07,10.8,50.31,2.12
1982,2,15,28.48,10.13,45.56,2.44
1982,2,16,28.12,11.29,52.25,4.54
1982,2,17,27.87,12.15,56.75,4.77
1982,2,18,27.98,11.9,55.69,4.7
1982,2,19,28.03,10.38,49.06,1.5
1982,2,20,28.64,9.22,41.12,2.77
1982,2,21,28.17,11.66,52.75,3.12
1982,2,22,28.51,10.86,49.38,3.71
1982,2,23,28.39,10.38,47.69,3.81
1982,2,24,27.94,10.68,50.0,3.09
1982,2,25,27.96,10.93,51.31,3.4
1982,2,26,28.44,10.8,50.38,4.01
1982,2,27,28.91,11.41,51.31,5.04
1982,2,28,28.87,10.31,48.31,5.0
1982,3,1,28.36,10.74,51.25,5.03
1982,3,2,28.87,11.66,52.19,3.66
1982,3,3,29.41,11.6,49.0,3.79
1982,3,4,29.26,11.47,49.62,3.2
1982,3,5,30.05,11.54,48.56,5.29
1982,3,6,29.75,8.61,39.06,2.27
1982,3,7,29.62,12.08,52.25,3.01
1982,3,8,29.99,12.27,52.38,4.91
1982,3,9,30.01,11.35,50.25,4.16
1982,3,10,29.62,12.08,52.62,5.28
1982,3,11,29.64,12.33,53.25,4.84
1982,3,12,30.05,11.66,48.88,2.77
1982,3,13,30.89,10.31,41.5,1.31
1982,3,14,31.19,7.75,31.25,2.09
1982,3,15,30.74,10.44,44.0,2.58
1982,3,16,31.04,11.72,46.88,4.55
1982,3,17,31.11,11.41,45.38,4.87
1982,3,18,30.79,11.84,47.0,4.77
1982,3,19,30.43,10.8,45.12,4.5
1982,3,20,30.65,10.93,44.81,2.91
1982,3,21,31.23,9.34,36.25,3.89
1982,3,22,31.46,9.83,37.75,3.06
1982,3,23,31.12,10.07,40.31,3.75
1982,3,24,31.06,10.56,41.81,2.61
1982,3,25,30.83,11.29,44.56,3.13
1982,3,26,31.69,12.08,45.44,3.62
1982,3,27,31.82,12.33,45.12,3.26
1982,3,28,31.49,11.72,44.5,2.83
1982,3,29,31.74,11.05,42.44,3.28
1982,3,30,32.4,9.7,36.44,2.62
1982,3,31,33.02,8.61,32.5,2.19
1982,4,1,33.55,9.22,34.81,2.42
1982,4,2,34.06,9.03,34.12,2.5
1982,4,3,34.36,9.28,33.25,2.03
1982,4,4,34.57,11.47,39.88,1.82
1982,4,5,34.3,13.18,43.62,3.58
1982,4,6,32.51,12.63,45.75,6.29
1982,4,7,31.41,12.57,49.0,4.95
1982,4,8,32.13,10.68,42.25,4.23
1982,4,9,32.97,10.31,37.88,3.41
1982,4,10,32.85,12.33,42.69,5.26
1982,4,11,30.57,13.37,51.25,3.11
1982,4,12,31.02,12.27,48.06,3.18
1982,4,13,31.27,11.54,44.06,3.44
1982,4,14,31.34,11.11,43.25,3.3
1982,4,15,32.22,11.78,43.81,4.05
1982,4,16,31.43,12.39,46.38,3.33
1982,4,17,31.47,12.88,47.69,3.23
1982,4,18,31.76,13.49,49.25,4.16
1982,4,19,31.6,14.16,51.94,4.86
1982,4,20,31.45,14.53,52.56,4.94
1982,4,21,29.14,14.53,58.75,4.3
1982,4,22,31.91,13.06,47.19,1.96
1982,4,23,33.48,12.57,41.69,2.46
1982,4,24,34.05,12.76,40.0,3.08
1982,4,25,32.4,14.53,48.38,3.67
1982,4,26,32.49,12.08,42.69,2.91
1982,4,27,33.26,9.77,33.69,2.36
1982,4,28,33.67,12.88,43.25,3.65
1982,4,29,33.31,12.82,42.88,3.92
1982,4,30,33.42,12.63,42.62,3.78
1982,5,1,31.3,14.71,52.94,3.69
1982,5,2,32.27,14.95,52.38,2.62
1982,5,3,31.8,15.81,56.12,3.47
1982,5,4,34.09,14.04,43.88,4.18
1982,5,5,35.01,13.18,38.81,2.62
1982,5,6,35.85,13.73,39.06,2.91
1982,5,7,33.44,12.88,41.75,3.54
1982,5,8,35.5,12.08,35.5,2.98
1982,5,9,35.4,13.43,38.75,3.27
1982,5,10,34.79,12.45,37.44,4.31
1982,5,11,34.58,11.54,35.56,4.46
1982,5,12,34.33,13.79,43.81,5.37
1982,5,13,32.83,15.32,51.88,5.73
1982,5,14,30.93,15.75,57.06,5.55
1982,5,15,30.15,16.36,61.81,3.5
1982,5,16,28.9,16.54,66.44,3.01
1982,5,17,30.05,16.05,61.81,1.92
1982,5,18,31.22,14.77,54.56,2.76
1982,5,19,31.33,14.71,53.19,3.59
1982,5,20,32.51,14.1,48.75,2.21
1982,5,21,33.41,13.55,43.75,2.66
1982,5,22,33.47,14.04,44.5,3.3
1982,5,23,32.29,13.98,47.06,3.31
1982,5,24,33.37,13.37,42.94,2.58
1982,5,25,33.99,13.85,44.25,3.55
1982,5,26,33.37,14.34,46.62,3.49
