YEAR,MO,DY,T2M,QV2M,RH2M,WS10M
1982,1,1,20.53,8.85,60.69,2.38
1982,1,2,21.34,8.73,57.19,1.91
1982,1,3,21.61,9.22,59.5,3.07
1982,1,4,21.76,9.64,61.81,4.05
1982,1,5,21.03,10.25,66.75,2.91
1982,1,6,19.97,10.74,72.88,2.31
1982,1,7,21.11,9.58,63.75,2.79
1982,1,8,21.31,10.25,66.19,4.1
1982,1,9,21.74,9.52,61.81,4.3
1982,1,10,22.92,10.8,62.88,3.55
1982,1,11,21.69,11.6,70.0,2.07
1982,1,12,20.81,10.93,69.75,2.99
1982,1,13,22.12,10.13,61.62,4.41
1982,1,14,22.21,9.34,57.75,3.9
1982,1,15,22.8,9.46,56.62,4.0
1982,1,16,23.69,9.64,54.69,2.84
1982,1,17,24.47,9.52,50.62,2.21
1982,1,18,24.78,9.89,51.56,2.6
1982,1,19,24.75,10.19,52.88,3.14
1982,1,20,24.68,10.07,53.25,2.66
1982,1,21,24.94,10.13,52.5,3.73
1982,1,22,24.84,9.7,51.25,3.34
1982,1,23,24.65,9.64,50.75,2.26
1982,1,24,24.05,8.79,48.56,4.16
1982,1,25,23.71,10.38,57.5,5.55
1982,1,26,22.45,8.97,56.06,4.64
1982,1,27,23.38,10.74,61.19,3.71
1982,1,28,24.94,10.56,54.0,3.1
1982,1,29,24.33,10.44,55.81,3.47
1982,1,30,23.36,10.25,58.06,4.25
1982,1,31,22.69,10.07,59.94,4.09
1982,2,1,22.35,10.93,65.81,3.19
1982,2,2,22.92,10.99,64.62,3.49
1982,2,3,24.44,10.07,54.12,3.95
1982,2,4,23.26,9.03,52.69,3.04
1982,2,5,22.48,9.64,59.19,2.99
1982,2,6,23.05,8.79,52.31,2.84
1982,2,7,23.76,8.06,45.81,2.6
1982,2,8,24.03,8.3,47.38,3.02
1982,2,9,25.04,6.65,36.38,2.38
1982,2,10,25.03,6.59,36.31,2.64
1982,2,11,25.92,6.59,33.56,3.2
1982,2,12,26.87,8.42,39.19,4.34
1982,2,13,25.5,8.42,44.38,2.57
1982,2,14,27.84,8.42,36.88,2.69
1982,2,15,28.94,8.48,34.5,2.48
1982,2,16,29.01,8.0,32.81,3.33
1982,2,17,26.04,6.04,31.31,2.27
1982,2,18,25.96,7.39,36.38,2.75
1982,2,19,26.08,6.35,32.25,2.53
