YEAR,MO,DY,T2M,QV2M,RH2M,WS10M
1982,1,1,20.7,10.01,66.88,1.89
1982,1,2,21.43,9.77,63.06,1.82
1982,1,3,21.27,10.68,69.31,2.7
1982,1,4,21.08,11.23,73.12,3.57
1982,1,5,20.93,11.72,76.69,2.74
1982,1,6,21.74,11.54,71.56,2.1
1982,1,7,21.48,10.62,68.31,2.75
1982,1,8,21.48,11.54,73.62,3.92
1982,1,9,21.13,10.86,71.19,3.89
1982,1,10,21.6,10.68,68.69,3.91
1982,1,11,21.83,11.23,70.12,2.78
1982,1,12,20.92,10.56,70.38,2.76
1982,1,13,21.09,10.38,69.0,3.55
1982,1,14,21.6,10.8,69.44,3.84
1982,1,15,21.96,10.99,69.12,3.64
1982,1,16,23.27,10.86,63.62,2.59
1982,1,17,23.81,11.17,62.44,2.37
1982,1,18,24.16,11.54,63.69,2.76
1982,1,19,23.97,11.6,64.38,3.38
1982,1,20,23.82,11.35,64.06,3.33
1982,1,21,23.91,11.17,62.75,4.61
1982,1,22,23.69,10.68,61.31,4.24
1982,1,23,24.15,10.19,56.81,3.11
1982,1,24,23.9,10.38,57.94,3.95
1982,1,25,23.45,11.54,65.56,4.88
1982,1,26,22.26,10.62,66.06,3.91
1982,1,27,23.3,11.05,64.31,3.62
1982,1,28,23.62,11.23,64.0,4.02
1982,1,29,23.73,11.05,62.94,3.62
1982,1,30,23.36,10.68,61.62,3.73
1982,1,31,22.92,10.44,62.12,3.48
1982,2,1,23.49,11.11,63.62,2.46
1982,2,2,23.78,11.17,62.75,2.33
1982,2,3,24.2,10.25,56.88,4.2
1982,2,4,24.71,10.86,57.81,3.21
1982,2,5,24.62,10.31,55.69,2.36
1982,2,6,24.76,9.22,49.06,2.43
1982,2,7,25.05,9.83,50.81,1.65
1982,2,8,25.44,10.38,53.62,2.18
1982,2,9,25.59,7.45,38.94,1.59
1982,2,10,25.49,6.84,36.31,2.1
1982,2,11,25.63,6.77,35.62,2.56
1982,2,12,27.22,10.86,52.5,4.15
1982,2,13,27.55,10.62,49.69,2.14
1982,2,14,28.43,9.7,42.38,1.52
1982,2,15,28.83,8.91,37.62,2.15
1982,2,16,28.86,9.64,41.25,4.77
1982,2,17,27.83,10.38,48.19,3.38
1982,2,18,27.9,11.05,51.44,3.86
1982,2,19,27.38,8.91,43.25,2.21
1982,2,20,28.21,7.32,32.25,2.58
1982,2,21,27.93,10.31,45.69,2.98
1982,2,22,28.79,9.64,41.19,3.72
1982,2,23,29.04,8.91,38.06,4.08
1982,2,24,28.17,8.67,38.62,2.91
1982,2,25,27.58,9.46,44.06,3.63
1982,2,26,28.48,9.16,42.31,4.62
1982,2,27,28.87,9.64,42.75,5.65
1982,2,28,28.98,8.0,36.56,5.58
1982,3,1,28.69,8.67,39.62,5.24
1982,3,2,28.58,9.16,40.38,2.33
1982,3,3,28.98,10.56,44.69,3.52
1982,3,4,29.17,10.44,44.56,3.47
1982,3,5,30.34,8.79,35.56,4.88
1982,3,6,28.32,5.55,25.56,3.27
1982,3,7,28.87,8.79,36.88,2.03
1982,3,8,30.17,9.09,40.19,3.81
1982,3,9,29.77,7.75,34.38,3.2
1982,3,10,29.53,10.56,46.62,4.26
1982,3,11,29.95,10.86,46.5,4.31
1982,3,12,30.19,10.56,43.06,2.4
1982,3,13,30.26,7.08,27.94,1.81
1982,3,14,29.65,4.7,20.06,2.7
1982,3,15,29.76,8.54,37.31,2.75
1982,3,16,31.37,9.77,38.0,4.14
1982,3,17,31.83,10.07,38.19,4.37
1982,3,18,31.36,10.31,38.88,4.87
1982,3,19,30.73,9.34,38.0,4.59
1982,3,20,30.67,9.34,36.5,3.26
1982,3,21,31.4,7.93,29.31,3.83
1982,3,22,31.38,8.61,32.0,2.98
1982,3,23,31.46,8.54,32.12,3.69
1982,3,24,31.69,8.48,31.19,2.22
1982,3,25,32.09,9.03,32.19,2.87
1982,3,26,31.69,8.79,32.12,1.67
1982,3,27,31.76,10.56,37.88,2.09
1982,3,28,31.38,8.42,31.5,3.25
1982,3,29,31.55,9.83,37.44,3.16
1982,3,30,32.33,8.24,30.19,2.33
1982,3,31,33.83,5.86,19.69,2.02
1982,4,1,34.23,4.94,16.31,2.31
1982,4,2,33.69,5.19,17.44,2.79
1982,4,3,34.21,4.7,15.0,2.52
1982,4,4,33.96,5.8,19.06,2.35
1982,4,5,34.24,8.0,25.25,2.0
1982,4,6,32.93,11.23,38.69,5.53
1982,4,7,31.64,10.74,42.0,5.34
1982,4,8,32.89,9.22,34.5,3.64
1982,4,9,33.9,8.42,28.31,3.69
1982,4,10,33.93,10.25,32.88,5.42
1982,4,11,30.15,12.15,46.88,4.4
1982,4,12,30.3,11.35,45.19,3.44
1982,4,13,30.46,11.29,44.38,3.67
1982,4,14,30.76,9.58,36.75,3.76
1982,4,15,32.4,10.19,36.75,4.09
1982,4,16,31.67,11.66,41.06,2.8
1982,4,17,30.55,11.72,43.81,3.58
1982,4,18,31.98,12.21,42.94,3.76
1982,4,19,32.22,13.06,45.25,4.74
1982,4,20,32.4,13.49,45.56,4.52
1982,4,21,29.55,13.12,51.44,5.16
1982,4,22,32.0,11.84,41.06,2.24
1982,4,23,33.44,12.57,41.12,2.52
1982,4,24,34.23,11.35,35.25,2.62
1982,4,25,32.11,12.76,44.19,3.0
1982,4,26,31.45,10.19,37.31,4.02
1982,4,27,32.15,8.36,28.94,3.17
1982,4,28,33.53,11.54,38.31,3.53
1982,4,29,33.62,11.78,37.19,3.57
1982,4,30,33.75,11.11,35.81,3.95
1982,5,1,32.85,12.94,42.44,4.61
1982,5,2,32.9,13.73,45.44,2.91
1982,5,3,32.05,15.08,52.12,3.73
1982,5,4,33.75,12.76,39.75,4.45
1982,5,5,34.95,12.45,36.44,2.6
1982,5,6,35.36,11.23,32.94,3.53
1982,5,7,33.34,10.62,34.5,2.87
1982,5,8,34.66,10.25,30.81,3.34
1982,5,9,35.16,11.9,33.69,1.57
1982,5,10,34.4,12.15,35.88,3.22
1982,5,11,34.48,11.29,33.56,4.24
1982,5,12,34.23,12.94,39.31,4.28
1982,5,13,33.48,13.98,45.0,5.09
1982,5,14,31.75,15.2,51.88,6.1
1982,5,15,29.94,16.17,60.75,4.64
1982,5,16,28.55,16.24,65.88,3.21
1982,5,17,29.45,15.69,61.19,1.96
1982,5,18,30.82,14.22,53.62,2.78
1982,5,19,31.25,14.1,50.81,3.79
1982,5,20,32.13,13.49,46.25,2.11
1982,5,21,33.44,13.61,43.12,1.19
1982,5,22,33.1,13.61,43.44,3.76
1982,5,23,32.76,13.61,44.31,3.41
1982,5,24,32.99,13.0,42.12,2.44
1982,5,25,34.01,13.06,40.56,2.66
1982,5,26,33.2,13.18,42.06,3.59
1982,5,27,34.54,13.49,40.06,2.19
1982,5,28,34.92,12.76,37.69,4.34
1982,5,29,35.18,12.33,34.38,4.9
1982,5,30,34.98,13.06,37.31,3.61
1982,5,31,34.69,14.47,43.0,3.84
1982,6,1,32.27,15.08,51.31,5.3
1982,6,2,32.08,13.98,47.38,5.55
1982,6,3,33.55,12.94,41.75,3.95
1982,6,4,33.83,11.9,38.19,4.53
1982,6,5,33.36,10.74,35.31,5.92
1982,6,6,34.14,11.29,34.81,4.17
1982,6,7,35.77,12.45,33.94,3.34
1982,6,8,34.96,13.61,39.69,4.65
1982,6,9,34.01,13.55,40.38,2.95
1982,6,10,34.01,14.59,43.94,5.45
1982,6,11,30.76,16.48,58.06,5.66
1982,6,12,31.16,16.36,57.44,4.17
1982,6,13,31.79,16.11,54.38,4.19
1982,6,14,30.26,16.78,61.38,4.39
1982,6,15,28.7,17.82,71.25,3.37
1982,6,16,27.96,18.37,76.56,4.66
1982,6,17,28.83,16.6,66.81,5.1
1982,6,18,27.98,16.72,69.44,6.73
1982,6,19,28.97,15.99,63.81,6.16
1982,6,20,28.85,15.62,62.56,6.48
1982,6,21,27.17,16.42,71.81,5.87
1982,6,22,25.9,16.54,77.69,5.12
1982,6,23,25.58,17.21,81.62,3.73
1982,6,24,26.81,18.74,82.06,4.6
1982,6,25,28.01,17.15,71.62,5.35
1982,6,26,27.71,17.4,73.06,5.7
1982,6,27,27.81,17.7,74.06,4.95
1982,6,28,27.97,17.15,71.38,5.99
1982,6,29,29.39,16.66,64.62,5.15
1982,6,30,30.87,15.99,57.94,5.1
1982,7,1,30.92,15.14,54.75,5.64
1982,7,2,30.42,15.32,56.56,4.55
1982,7,3,30.07,14.83,56.19,4.89
1982,7,4,30.82,16.36,59.06,4.32
1982,7,5,28.27,17.15,69.69,5.83
1982,7,6,28.08,16.85,69.44,4.2
1982,7,7,29.24,16.91,65.69,4.07
1982,7,8,27.74,17.58,73.38,3.97
1982,7,9,27.51,17.64,74.94,2.79
1982,7,10,26.75,18.07,79.88,2.47
1982,7,11,25.23,17.7,85.06,4.25
1982,7,12,26.7,16.97,76.06,4.96
1982,7,13,26.19,16.72,76.81,3.72
1982,7,14,28.14,16.17,67.75,4.28
1982,7,15,28.01,15.99,67.38,4.61
1982,7,16,26.48,17.94,80.56,4.27
1982,7,17,26.08,18.19,83.25,5.15
1982,7,18,26.29,17.52,79.19,6.4
1982,7,19,25.97,18.13,82.94,8.47
1982,7,20,24.75,18.25,89.62,6.5
1982,7,21,26.48,17.52,79.06,5.52
1982,7,22,27.17,17.09,74.5,4.84
1982,7,23,26.51,17.58,79.06,4.74
1982,7,24,26.19,18.25,83.25,4.71
1982,7,25,26.62,17.7,79.56,5.33
1982,7,26,26.12,16.91,78.12,5.79
1982,7,27,25.32,17.21,82.75,4.99
1982,7,28,26.29,17.94,81.56,5.76
1982,7,29,26.55,18.43,82.44,5.91
1982,7,30,26.6,18.74,83.31,5.81
1982,7,31,26.39,18.31,82.56,5.4
1982,8,1,26.12,17.52,80.38,5.22
1982,8,2,25.71,16.72,79.25,4.66
1982,8,3,26.23,16.66,76.81,4.43
1982,8,4,27.01,17.7,77.69,4.49
1982,8,5,26.29,18.25,82.56,4.05
1982,8,6,26.33,18.68,84.44,4.02
1982,8,7,26.0,18.19,84.0,4.64
1982,8,8,25.68,16.78,79.62,4.84
1982,8,9,25.95,16.3,76.44,5.06
1982,8,10,26.15,17.21,79.12,4.93
